nnkd,mob,MOB_term,Credit_TermApr,bad,maxdelay_one,delays_one,MA_AGE,MA_Gender,MA_Education,MA_Marital_Status,MANUMBEROFCHILD,MA_Residential_Status,MA_MONTH_AT_CURR_ADDRESS,MA_Real_Estate_Owner,MA_REG_Same_Fact_Addr,MA_MONTH_AT_CURR_PASSP,MA_Exp_IND,MA_MONTH_AT_CURR_JOB,MA_Time_Previous_Job,MA_Proposed_Amount,TOT_INCOME,PARTWH_INCOME,PAYMD2TOTPAYM,PTI,ratio_curr_cap_share,larger_diff_term,ratio_inst_amount,freq_nnkd,age_range,EQ_PP,diff_white_pti,ratio_time_job,ratio_amount_income
1-RUR-4520-3169017,6,0.1224489795,49,1,43,1,30,1,0,2,1,1,34,1,0,57,0,39,48,400000,48851.0,1.0,0.4546886505808758,0.2790225379214345,0.06791920774704903,1,278.1740816326531,5,2,0,35220.47,1.2307692307692308,1.46553
1-RUR-0000-4765969,7,0.1891891891,37,1,53,1,37,1,3,3,1,4,38,1,0,38,0,63,120,100000,21000.0,1.0,0.4098273725212465,0.20215047619047616,0.10203548146497544,1,114.73405405405406,5,2,0,16754.84,1.9047619047619047,2.52
1-RUR-3630-3631587,10,0.16393442619999998,61,1,54,1,33,0,0,5,2,4,5,1,0,4,0,46,36,208000,20000.0,0.0,0.34462374707965937,0.2872365,0.09641753475652905,1,94.17590163934426,9,2,0,-5744.7300000000005,0.782608695652174,1.1538461538461537
1-RUR-0000-3664600,7,0.1147540983,61,1,52,1,25,1,2,2,0,4,6,1,0,32,0,6,16,400000,40000.0,0.0,0.3103369000652797,0.28767975,0.036811177322160896,1,188.64245901639345,5,1,0,-11507.19,2.6666666666666665,1.2
1-RUR-0000-3569583,11,0.18032786879999999,61,0,31,1,28,1,2,2,0,1,20,1,0,64,0,18,60,200000,22300.0,1.0,0.32524435882347313,0.2580085201793722,0.10532302556976915,1,94.3211475409836,12,2,0,16546.41,3.3333333333333335,1.338
1-RUR-0000-3203123,10,0.16393442619999998,61,0,17,0,33,0,2,5,3,2,8,1,0,71,0,17,7,400000,45000.0,0.0,0.4697097747448865,0.2667542222222222,0.12463538266548314,1,196.78590163934427,7,2,0,-12003.94,0.4117647058823529,1.35
1-RUR-4500-3615979,11,0.18032786879999999,61,0,19,0,32,1,2,5,3,3,144,1,0,63,0,39,29,234000,37000.0,1.0,0.3274772318694853,0.18193783783783785,0.10458717588458315,1,110.35573770491803,4,2,0,30268.3,0.7435897435897436,1.8974358974358974
1-RUR-4500-3615979,4,0.0655737704,61,0,19,0,32,1,2,5,3,3,144,1,0,63,0,39,29,234000,37000.0,1.0,0.3026342857142857,0.18193783783783785,0.027917718004804703,1,110.35573770491803,4,2,0,30268.3,0.7435897435897436,1.8974358974358974
1-RUR-0000-3094246,19,0.3114754098,61,0,21,0,31,1,1,2,1,1,4,1,0,25,0,8,29,150000,20000.0,1.0,0.517497662434409,0.225074,0.3047950871337632,1,73.79475409836064,7,2,0,15498.52,3.625,1.6
1-RUR-0000-3180448,18,0.36734693869999996,49,0,38,1,29,1,0,4,1,1,19,1,0,73,0,83,60,170000,20000.0,1.0,0.5464004144267769,0.28964850000000003,0.3799843817866403,1,118.22387755102041,10,2,0,14207.029999999999,0.7228915662650602,1.411764705882353
1-RUR-0000-3900788,5,0.41666666659999996,12,1,20,0,34,0,2,2,0,2,21,1,0,53,0,9,15,188000,55000.0,1.0,0.7974528126279736,0.3232218181818182,0.29512940400060317,1,1481.4333333333334,3,2,0,37222.8,1.6666666666666667,3.5106382978723403
